MST|RFID
10071|6644403
101|4226439
10124|6636751
1013|6652045
10137|6670205
10219|6391900
10291|6391870
10296|9008234
10374|8997571
10404|1450346
10404|12332018
10405|9496047
10410|1427813
10424|12311111
10437|1644326
10446|1501758
10486|12307466
10491|12307479
10512|6308580
10568|12417939
10583|12356231
1060|7661601
10643|6380579
10650|6410842
10656|9503555
10686|6656744
10693|15115895
10698|15127869
10701|6380503
10716|6257721
10725|6257630
1074|11966945
10798|6358845
1085|16117378
10870|12332589
10890|12327950
10933|12199428
10936|12327953
10955|6258493
110|6361940
11072|6009842
11079|1502239
11122|12328444
11162|12310961
11165|12332662
11178|12327417
11179|12327444
11188|12327907
11224|9503594
11240|15435959
11264|15443023
11308|6359373
11335|9118262
11392|10526245
114|10375624
11419|1638044
11430|9517345
11440|4287890
11458|1613886
115|8413814
11509|1607383
11524|9367382
11547|1652095
11598|1444794
11641|9116540
11646|14893747
11700|1216285
11773|15132192
11782|15114360
11834|3322621
11837|1434529
11843|15390149
11850|15462101
11854|15454620
11855|15122714
11862|9545932
11866|15113241
11895|15429459
11900|3402812
11912|15425516
11918|15458909
1192|1501116
11922|6259002
11927|1428383
11936|3409391
11937|15125438
11954|8524049
11986|1616648
120|1497337
12016|15398236
12018|3296820
1202|868195
12025|3276965
12032|9352494
12037|3287474
12063|6257355
12065|3372563
12066|9116551
12069|6640850
12079|1331196
12082|15131498
12084|1640995
12085|9503529
12087|1493803
12092|1642854
12105|1513691
12107|3427545
12113|6391887
12124|3612574
12134|3870738
12158|3877330
12185|7495224
12196|1623081
12212|1603599
12219|1809817
12229|12487151
12252|9497492
12259|9549185
12260|9549252
12298|9116420
1231|1434555
12313|3876650
12328|9545264
12346|5601301
12357|6259045
12383|1503160
12384|9503559
12385|8992961
12390|3836440
12403|9515997
12426|10367750
12440|10402295
12441|7610252
12469|7584402
12479|9548594
12482|1426593
12485|1425457
12498|1558185
12499|16747319
125|12810942
12507|1448397
12511|1524214
12553|9549820
12558|9503592
1257|5546403
12579|1618210
12592|9494316
12595|9494149
12679|1437742
12698|1577494
1271|10534549
12712|9009505
1272|6391915
12721|4883386
12750|7606729
12755|1491733
12756|1502133
12757|9542533
12763|15442552
12791|1433354
12792|1473390
128|12816347
12801|9006018
12806|9014008
1281|15464353
12810|9240711
12817|7607446
12830|15397661
12846|9517450
12847|9503554
12863|3363273
12869|15447780
12873|10364476
